file,section_id,title,start_line,end_line,score,confidence,action,destinations,signals,router_rows,summary
corpus_institutions/ci_15_vulnerable_personal_services_markets_article_xc_interface.md,CI-15,Vulnerable personal services markets — general regulation and Article X-C interface,1,62,24,high,split-CI-and-CJS,CJS-5B; CJS-5D; CJS-5C,multi-owner-routing(2); routing-read-with(3); cjs-cluster(1); shared-procedure(3); dependency-failure(2); forum-system-touch(11),"CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","**Purpose.** This section records the institutional application of **Chapter Ten**, **Article X-C** (*Adult consensual commercial sexual services and sexual exploitation*) for local authorization, enforcement separation, transition records, and remedy routi..."
corpus_institutions/ci_17_scientific_publication_peer_review_replication_evidence_stewardship.md,CI-17,"Scientific publication, peer review, replication, and evidence stewardship",1,56,23,high,split-CI-and-CJS,CJS-5B; CJS-5E; CJS-3 / CJS-4,joint-interface(1); multi-owner-routing(1); routing-read-with(3); cjs-cluster(1); shared-procedure(5); forum-system-touch(7),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R16 — Cross-institution coordination, deadlock, and escalation","**Purpose and owner boundary.** This section governs the institutional custody, funding, ranking, archival, reliance, and review mechanics for scientific and scholarly claims where constitutional adoption brings those functions within scope. Constitutional..."
corpus_institutions/ci_16_innovation_reward_disclosure_anti_enclosure.md,CI-16,"Innovation reward, disclosure, and anti-enclosure",1,54,23,high,split-CI-and-CJS,CJS-5B; CJS-3 / CJS-4; CJS-5C,joint-interface(2); routing-read-with(3); cjs-cluster(1); shared-procedure(4); dependency-failure(1); forum-system-touch(3),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)",**Purpose and owner boundary.** This section governs institutional handling of innovation-reward systems where constitutional adoption brings them within scope. Constitutional meaning remains in **Chapter Five** (*Innovation Reward and Anti-Enclosure*) and...
corpus_institutions/ci_09_classification_linked_institutional_obligations.md,CI-9.3,"Delegated subunits, institutional design class, and attachment discipline",93,131,23,high,replace-with-pointer,CJS-5A / CJS-4.1 / CJS-4.7; CJS-3 / CJS-4,joint-interface(2); multi-owner-routing(2); routing-read-with(2); shared-procedure(1); forum-system-touch(10); near-duplicate(1),"CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)",**Purpose.** This subsection applies the shared delegated-body abstractions in `corpus_joint_structure.md` **CJS-4.1** (*Mandatory hybrid authority composition (delegated binding bodies)*) and **CJS-4.7** (*Shared procedural abstractions for delegated bodie...
corpus_institutions/ci_07_oversight_assurance_controls_evidence.md,CI-7.3,Contest-integrity monitoring (Class A and Class B),106,152,21,high,split-CI-and-CJS,CJS-5B; CJS-4.4; CJS-3 / CJS-4,multi-owner-routing(1); routing-read-with(1); cjs-cluster(2); shared-procedure(4); dependency-failure(2); forum-system-touch(10),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","For covered **Class A** or **Class B** supervised scope, institutions must provide contest-integrity monitoring through the independent assurance line or an equivalent documented arrangement. Apply `corpus_joint_structure.md` **CJS-5B.1** (*Implementation a..."
corpus_institutions/ci_14_transitional_governance_institutional_evolution.md,CI-14.1,"Interface — Article XXV-D (non-compliant property, seizure, voluntary incentives)",34,73,20,high,split-CI-and-CJS,CJS-5D; CJS-3 / CJS-4; CJS-5A / CJS-4.1 / CJS-4.7,multi-owner-routing(2); routing-read-with(4); shared-procedure(2); forum-system-touch(7),CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Where transition plans address **non-compliant property or systems** under **Sentient Constitution Chapter Ten, Article XXV-D**, institutions must apply `corpus_joint_structure.md` **CJS-5B.1** (*Implementation and cross-implementation integrity assurance a..."
corpus_institutions/ci_10_public_revenue_fees_recurring_charges_billing_integrity.md,CI-10.1,"Public revenue, user fees, and class-aligned burden",29,64,19,high,split-CI-and-CJS,CJS-4.4; CJS-3 / CJS-4; CJS-5E,joint-interface(1); multi-owner-routing(3); routing-read-with(1); shared-procedure(1); forum-system-touch(10),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)",This subsection states the institutional application of the shared class-aligned revenue and access-burden floor in `corpus_joint_structure.md` **CJS-5A.4** (*Implementation and cross-implementation burden-of-justification and constraint terms*). It does **...
corpus_institutions/ci_20_care_labor_dependent_support_respite_care_economy_fairness.md,CI-20,"Care labor, dependent support, respite, and care-economy fairness",1,42,16,high,split-CI-and-CJS,CJS-3 / CJS-4; CJS-5D,routing-read-with(4); cjs-cluster(2); dependency-failure(2),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","**Purpose and owner boundary.** This section states the institutional application of the shared care, respite, and support-dependency floor in `corpus_joint_structure.md` **CJS-5D.1** (*Implementation and cross-implementation dependency integrity and disclo..."
corpus_institutions/ci_10_public_revenue_fees_recurring_charges_billing_integrity.md,CI-10.2,"Recurring charges, renewals, and commercial billing integrity",65,103,15,high,split-CI-and-CJS,CJS-4.4; CJS-5D; CJS-5C,multi-owner-routing(2); shared-procedure(3); dependency-failure(2); forum-system-touch(11),"CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","**Purpose.** This subsection records institutional requirements for **recurring and transaction-linked charges**, including subscriptions, memberships, paid tiers, and trial-to-paid conversion, where institutions **supervise, charter, or set compliance expe..."
corpus_institutions/ci_05_conflict_integrity_anti_capture_anti_corruption.md,CI-5,"Conflict integrity, anti-capture, and anti-corruption",1,56,14,high,split-CI-and-CJS,CJS-5B; CJS-5C; CJS-4.4,multi-owner-routing(1); routing-read-with(1); shared-procedure(3); dependency-failure(3); forum-system-touch(3),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","Institutions must maintain: - auditable conflict controls that cover financial, relational, and role-based conflicts. - anti-corruption and anti-fraud controls across prevention, detection, response, and remediation. Required controls include: - disclosure..."
