cluster_id,cluster_title,file,start_line,end_line,inferred_ch1_principles,direct_ch1_refs,read_with_refs,owner_refs,op_rule_count,op_complete,status
CJS-5.0,Cross-band: Role-definition preface and standing competency gate interface,corpus_joint_structure/cjs_05_cross_implementation_operational_terms.md,27,132,2.1; 3.4; 5.2; 7.1; 7.2; 10,2.1,,Article XI-D; CI; CS; Chapter Five; Chapter Nine; Chapter Six; Chapter Twelve; core_12-12_governance.md; corpus_forum.md; corpus_institutions.md; corpus_systems.md,14,yes,complete
CJS-5.2,Oversight: reflexive transparency and accountability terms,corpus_joint_structure/cjs_05o_oversight_operations.md,26,117,3.2; 4; 5.2; 7.1; 7.2,12.1; 12.2; 2.2; 3; 4.2; linked,,Chapter Five; Chapter Six,9,yes,complete
CJS-5.3,Oversight: auditability and reconstructability terms,corpus_joint_structure/cjs_05o_oversight_operations.md,118,179,3.2; 4; 7.1; 7.2,12.1; 12.2; 2.2; 3; linked,,Article VII-B; Article XV-A; Chapter Five; Chapter Six,5,yes,complete
CJS-5.4,Oversight: tiered transparency and audit-access terms,corpus_joint_structure/cjs_05o_oversight_operations.md,180,254,3.2; 6.2; 6.4; 7.1; 8,11.2; 11.4; 12.1; 13; 2.2; 6.3.1; linked,,Article VII-B; Article XV-A; CF; CS; Chapter Five; Chapter Six; corpus_forum.md; corpus_systems.md,7,yes,complete
CJS-5.5,Oversight: independent verification and claim-integrity terms,corpus_joint_structure/cjs_05o_oversight_operations.md,255,327,3.2; 3.3; 4; 7.1; 7.2,12.1; 12.2; 2.2; 2.3; 3; linked,,Chapter Five; Chapter Six,7,yes,complete
CJS-5.6,Oversight: integrity assurance and resilience operations,corpus_joint_structure/cjs_05o_oversight_operations.md,328,453,3.1; 3.2; 4.1; 7.1; 7.2,12.1; 12.2; 2.1; 2.2; 3.1; linked,,CF; CI; CS; Chapter Five; Chapter Six; Core definitions; core_11-11_forum.md; corpus_forum.md; corpus_systems.md,16,yes,complete
CJS-5.7,Participation: quorum and participatory legitimacy terms,corpus_joint_structure/cjs_05p_participation_operations.md,25,126,2.1; 4; 5.2; 6.4; 8; 10,7.1; linked,,Article IX-C; Article XI; Article XI-A; Chapter Five; Chapter Six; Chapter Twelve,13,yes,complete
CJS-5.8,Participation: comprehensibility and cognitive accessibility terms,corpus_joint_structure/cjs_05p_participation_operations.md,127,216,3.4; 5.2; 7.1; 8,12.1; 13; 2.4; 4.2; linked,,Chapter Five; Chapter Six; corpus_systems.md,11,yes,complete
CJS-5.9,Participation: salience integrity and attention-allocation terms,corpus_joint_structure/cjs_05p_participation_operations.md,217,302,2; 3.2; 4; 7.1; 8,12.1; 13; 2.2; 3; 8; linked,,Article XV-A; Chapter Five; Chapter Six,10,yes,complete
CJS-5.10,Participation: disclosure sufficiency and observability terms,corpus_joint_structure/cjs_05p_participation_operations.md,303,366,3.2; 6.2; 7.1; 8,11.2; 12.1; 13; 2.2; linked,,Article VII-B; Article XV-A; Chapter Five; Chapter Six,5,yes,complete
CJS-5.11,Accountability: distributed and proportional authority terms,corpus_joint_structure/cjs_05a_accountability_operations.md,26,234,2.1; 4; 5.2; 7.2; 10,13; 13.1; 13.2; 13.3; 13.3.1; 13.3.2; 7.1; linked,,Article I-D; Article III-D; Article XII-A; Article XII-E; Article XIII-A; Article XIX; CI; CS; Chapter Five; Chapter Six; corpus_systems.md,13,yes,complete
CJS-5.12,Accountability: burden-of-justification and constraint terms,corpus_joint_structure/cjs_05a_accountability_operations.md,235,344,6.1; 6.3; 6.4; 7.1; 8; 9,11.1; 11.3; 11.4; 12.1; 13; 14; 6.3.1; linked,,CF; CI; CS; Chapter Five; Chapter Six; Core definitions; corpus_forum.md; corpus_systems.md,12,yes,complete
CJS-5.13,Accountability: procedural integrity and adjudication terms,corpus_joint_structure/cjs_05a_accountability_operations.md,345,470,2.1; 3.4; 6.4; 7.1; 8; 10,7.1; linked,,CF; CI; CS; Chapter Five; Chapter Six; core_11-11_forum.md; corpus_forum.md; corpus_institutions.md; corpus_systems.md,13,yes,complete
CJS-5.14,Accountability: intervention governance and override-authorization terms,corpus_joint_structure/cjs_05a_accountability_operations.md,471,551,3.1; 6.1; 6.4; 7.1; 9,11.1; 11.4; 12.1; 14; 2.1; linked,,CF; Chapter Five; Chapter Six,7,yes,complete
CJS-5.15,"Accountability: structural review, correction urgency, and disclosure terms",corpus_joint_structure/cjs_05a_accountability_operations.md,552,630,3.1; 3.2; 4.1; 5.2; 7.1; 7.2,12.1; 12.2; 2.1; 2.2; 3.1; 4.2; linked,,CS; Chapter Five; Chapter Six; corpus_systems.md,7,yes,complete
CJS-5.16,Continuity: dependency integrity and disclosure terms,corpus_joint_structure/cjs_05c_continuity_operations.md,27,115,3.1; 4.1; 5.1; 7.1; 9,12.1; 14; 2.1; 3.1; 4.1; linked,,Article XV-A; CI; CS; Chapter Five; Chapter Six; corpus_systems.md,10,yes,complete
CJS-5.17,"Continuity: interoperability, portability, and exit-integrity terms",corpus_joint_structure/cjs_05c_continuity_operations.md,116,241,5.1; 6.1; 7.1; 8; 9,11.1; 12.1; 13; 14; 4.1; linked,,Article II-E; Article XIX; Article XV-A; CI; CS; Chapter Five; Chapter Six; Foundational Rights; corpus_systems.md,17,yes,complete
CJS-5.18,Continuity: data-retention and lifecycle-integrity terms,corpus_joint_structure/cjs_05c_continuity_operations.md,242,338,3.2; 6.2; 7.1; 8; 9,11.2; 12.1; 13; 14; 2.2; linked,,CS; Chapter Five; Chapter Six; corpus_systems.md,11,yes,complete
