article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,owner_refs,status
I,Environmental Survival,survival/resources,core_06-06_rights_part_a.md,116,,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Ecological Footprint,Article I; Chapter Five; core_00_preamble.md; core_05defs_continuity.md,weak_trace
I-A,Environmental Preconditions and Ecological Integrity,survival/resources,core_06-06_rights_part_a.md,136,3; 4.1; 6.3.1; 11.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation,continuity,,Avoidable Burden; Productive Capacity; Ecological Footprint,Article V-E; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_participation.md; core_13-15_amendment.md,complete
I-B,Ecological Footprint and Transparency,survival/resources,core_06-06_rights_part_a.md,173,4.2; 9.2; 11.1; linked,2; 3.1; 3.2; 6.2; 8; 9; 9.2; 11; 12; 13,oversight,continuity,material impact,Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Accessibility,Article I; Article I-B; Article XV-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md,complete
I-C,Intergenerational Responsibility,survival/resources,core_06-06_rights_part_a.md,200,3; 4.1; 8.16; 8.21; 9; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight,continuity,materiality,Avoidable Burden; Productive Capacity; Ecological Footprint,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md,complete
I-D,Existential Risk and Ecological Recovery Capacity,survival/resources,core_06-06_rights_part_a.md,230,4.1; 9; 10.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight,continuity,,Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Timely Resolution,Article XXIII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md,complete
II,Material Stewardship and Durable-Use Integrity,survival/resources,core_06-06_rights_part_a.md,271,,2; 3.1; 3.2; 6.2; 7; 8; 9; 9.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Avoidable Burden; Ecological Footprint,Article I; Article II; Article II-A; Chapter Five; core_00_preamble.md; corpus_institutions.md; corpus_systems.md,weak_trace
II-A,Material Stewardship and Lifecycle Honesty,survival/resources,core_06-06_rights_part_a.md,299,4.2; 10.1; 11.1; linked,3.2; 4; 6.2; 7; 8; 9; 9.2; 10.2; 11; 12; 13,oversight,continuity,materiality,Productive Capacity; Ecological Footprint; Accessibility; Trustworthiness,Article I-B; Article I-C; Article XII; Article XII-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md,complete
II-B,"Repair, Maintenance, and Independent Servicing",survival/resources,core_06-06_rights_part_a.md,332,4.1; 4.2; 10.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,accountability,continuity,,Dependency / Resource Flow,Article XII-D; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md,complete
II-C,Designed Obsolescence and Incentive Discipline,survival/resources,core_06-06_rights_part_a.md,365,4.1; 10; 10.1; 10.2; linked,3.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,,,Productive Capacity,Article XII-D; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_integrative.md; core_05defs_oversight.md,complete
II-D,Post-Sale Access and Subscription Integrity,survival/resources,core_06-06_rights_part_a.md,395,4.2; 5; 10; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,continuity,,Productive Capacity; Dependency / Resource Flow; Trustworthiness,Article IX-B; Article XII-C; Article XII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_integrative.md; core_05defs_oversight.md; core_05defs_participation.md,complete
