cluster_id,cluster_title,file,start_line,end_line,inferred_ch1_principles,direct_ch1_refs,read_with_refs,owner_refs,op_rule_count,op_complete,status
CJS-5.0,Cross-band: Role-definition preface and standing competency gate interface,corpus_joint_structure/cjs_05_cross_implementation_operational_terms.md,27,131,2.1; 3.4; 5.2; 7.1; 7.2; 10,,,Article XI-D; CI; CS; Chapter Eleven; Chapter Five; Chapter Seven; core_07-07_standing_integration.md; core_11-11_governance.md; corpus_forum.md; corpus_institutions.md; corpus_systems.md,14,yes,weak_trace
CJS-5.2,Oversight: reflexive transparency and accountability terms,corpus_joint_structure/cjs_05o_oversight_operations.md,26,117,3.2; 4; 5.2; 7.1; 7.2,3.2; 4; 5.2; 7.1; 7.2; linked,,Chapter Five,9,yes,complete
CJS-5.3,Oversight: auditability and reconstructability terms,corpus_joint_structure/cjs_05o_oversight_operations.md,118,179,3.2; 4; 7.1; 7.2,3.2; 4; 7.1; 7.2; linked,,Article VII-B; Article XV-A; Chapter Five,5,yes,complete
CJS-5.4,Oversight: tiered transparency and audit-access terms,corpus_joint_structure/cjs_05o_oversight_operations.md,180,254,3.2; 6.2; 6.4; 7.1; 8,3.2; 6.2; 6.4; 6.4.1; 7.1; 8; linked,,Article VII-B; Article XV-A; CF; CS; Chapter Five; corpus_forum.md; corpus_systems.md,7,yes,complete
CJS-5.5,Oversight: independent verification and claim-integrity terms,corpus_joint_structure/cjs_05o_oversight_operations.md,255,327,3.2; 3.3; 4; 7.1; 7.2,3.2; 3.3; 4; 7.1; 7.2; linked,,Chapter Five,7,yes,complete
CJS-5.6,Oversight: integrity assurance and resilience operations,corpus_joint_structure/cjs_05o_oversight_operations.md,328,453,3.1; 3.2; 4.1; 7.1; 7.2,3.1; 3.2; 4.1; 7.1; 7.2; linked,,CF; CI; CS; Chapter Five; Core definitions; core_09-09_forum.md; corpus_forum.md; corpus_systems.md,16,yes,complete
CJS-5.7,Participation: quorum and participatory legitimacy terms,corpus_joint_structure/cjs_05p_participation_operations.md,25,126,2.1; 4; 5.2; 6.4; 8; 10,10; 2.1; 4; 5.2; 6.4; 8; linked,,Article IX-C; Article XI; Article XI-A; Chapter Eleven; Chapter Five; Chapter Ten,13,yes,complete
CJS-5.8,Participation: comprehensibility and cognitive accessibility terms,corpus_joint_structure/cjs_05p_participation_operations.md,127,216,3.4; 5.2; 7.1; 8,3.4; 5.2; 7.1; 8; linked,,Chapter Five; corpus_systems.md,11,yes,complete
CJS-5.9,Participation: salience integrity and attention-allocation terms,corpus_joint_structure/cjs_05p_participation_operations.md,217,302,2; 3.2; 4; 7.1; 8,2; 3.2; 4; 7.1; 8; linked,,Article XV-A; Chapter Five; Chapter Ten,10,yes,complete
CJS-5.10,Participation: disclosure sufficiency and observability terms,corpus_joint_structure/cjs_05p_participation_operations.md,303,366,3.2; 6.2; 7.1; 8,3.2; 6.2; 7.1; 8; linked,,Article VII-B; Article XV-A; Chapter Five,5,yes,complete
