file,section_id,title,start_line,end_line,score,confidence,action,destinations,signals,router_rows,summary
corpus_institutions/ci_16_innovation_reward_disclosure_anti_enclosure.md,CI-16,"Innovation reward, disclosure, and anti-enclosure",1,56,32,high,split-CI-and-CJS,CJS-5B; CJS-5D; CJS-3 / CJS-4,joint-interface(2); multi-owner-routing(2); routing-read-with(6); shared-procedure(6); dependency-failure(8); forum-system-touch(16),CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,**Purpose and owner boundary.** This section governs institutional handling of innovation-reward systems where constitutional adoption brings them within scope. Constitutional meaning remains in **Chapter Five** (*Innovation Reward and Anti-Enclosure*) and...
corpus_institutions/ci_09_classification_linked_institutional_obligations.md,CI-9.3,"Delegated subunits, institutional design class, and attachment discipline",112,150,32,high,replace-with-pointer,CJS-5A / CJS-4.1 / CJS-4.7; CJS-3 / CJS-4,joint-interface(4); multi-owner-routing(3); routing-read-with(2); shared-procedure(1); forum-system-touch(12); near-duplicate(1),"CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)",**Purpose.** This subsection applies the shared delegated-body abstractions in `corpus_joint_structure.md` **CJS-4.1** (*Mandatory hybrid authority composition (delegated binding bodies)*) and **CJS-4.7** (*Shared procedural abstractions for delegated bodie...
corpus_institutions/ci_01_scope_purpose_legitimacy_interface.md,CI-1,"Scope, purpose, and legitimacy interface",23,59,30,high,split-CI-and-CJS,CJS-3 / CJS-4; CJS-5A / CJS-4.1 / CJS-4.7,joint-interface(2); multi-owner-routing(2); routing-read-with(3); cjs-cluster(2); shared-procedure(2); forum-system-touch(4),CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R11 — Forum continuity,"**Constitutional index (abridged)** - Apply `corpus_joint_structure.md` **CJS-1.1** (*Shared implementation-corpus preamble contract*), **CJS-1.3** (*Joint structural boundary and owner discipline*), **CJS-2.2** (*Topic router (stable IDs)*), and **CJS-3.6*..."
corpus_institutions/ci_15_vulnerable_personal_services_markets_article_xc_interface.md,CI-15,Vulnerable personal services markets — general regulation and Article X-C interface,1,62,28,high,split-CI-and-CJS,CJS-5D; CJS-5C; CJS-5B,joint-interface(1); multi-owner-routing(2); routing-read-with(5); shared-procedure(4); dependency-failure(3); forum-system-touch(12),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)",**Constitutional index (abridged)** - Topic-level routing and cited authorities remain in subsection text and cross-references. - Canonical owner map: `corpus_joint_structure.md` **CJS-2.2** (*Topic router (stable IDs)*) and `doc_architecture.md` section 4....
corpus_institutions/ci_10_public_revenue_fees_recurring_charges_billing_integrity.md,CI-10.1,"Public revenue, user fees, and class-aligned burden",29,70,28,high,split-CI-and-CJS,CJS-3 / CJS-4; CJS-5C; CJS-5A / CJS-4.1 / CJS-4.7,joint-interface(1); multi-owner-routing(3); routing-read-with(5); shared-procedure(4); forum-system-touch(18),"CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","This subsection states **orientation** for how institutions—and adopting authorities where they have discretion—should think about **taxes, charges, and similar revenue measures** in relation to `corpus_systems.md` **Chapter S2** system classes. It does **n..."
corpus_institutions/ci_07_oversight_assurance_controls_evidence.md,CI-7.3,Contest-integrity monitoring (Class A and Class B),106,152,28,high,split-CI-and-CJS,CJS-5B; CJS-4.4; CJS-3 / CJS-4,multi-owner-routing(2); routing-read-with(3); cjs-cluster(2); shared-procedure(6); dependency-failure(2); forum-system-touch(13),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","Where institutional governed scope includes **Class A** or **Class B** systems (`corpus_systems.md` **Chapter S2**), institutions must maintain **contest-integrity** capacity as part of the **independent assurance line**, or through an equivalent documented..."
corpus_institutions/ci_26_compliance_mapping_stable_registry.md,CI-26,Compliance mapping and stable registry,1,84,25,high,replace-with-pointer,CJS-5B; CJS-3 / CJS-4; CJS-5A / CJS-4.1 / CJS-4.7,multi-owner-routing(2); routing-read-with(8); shared-procedure(4); dependency-failure(1); forum-system-touch(9); near-duplicate(1),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","Institutional protocol IDs use the `INST-PROTO-*` convention and remain stable across editorial renumbering. Core registry: - `INST-PROTO-1`: Delegation and authority custody - `INST-PROTO-2`: Appointment, qualification, and removal - `INST-PROTO-3`: Confli..."
corpus_institutions/ci_11_resource_stewardship_incentive_integrity.md,CI-11,Resource stewardship and incentive integrity,1,40,24,high,split-CI-and-CJS,CJS-5D; CJS-4.4; CJS-5C,multi-owner-routing(3); routing-read-with(4); shared-procedure(2); dependency-failure(1); forum-system-touch(12),CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"**Continuity planning:** Institutions must maintain resource adequacy for safe continuity and constitutional performance. Shared dependency-chain evaluation for funding, staffing, capacity, and resource adequacy is governed by `corpus_joint_structure.md` **..."
corpus_institutions/ci_18_community_life_voluntary_association_non_instrumental_time.md,CI-18,"Community life, voluntary association, and non-instrumental time",1,40,20,high,split-CI-and-CJS,CJS-3 / CJS-4; CJS-5B; CJS-5C,joint-interface(1); multi-owner-routing(1); routing-read-with(3); shared-procedure(4); forum-system-touch(8),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R16 — Cross-institution coordination, deadlock, and escalation","**Purpose.** This section records **institutional and system design expectations** for **community belonging**, **cultural gathering**, **play**, **recreation**, **solitude**, and **non-productive time** that are **adjacent to** but **not exhausted by** **A..."
corpus_institutions/ci_17_scientific_publication_peer_review_replication_evidence_stewardship.md,CI-17,"Scientific publication, peer review, replication, and evidence stewardship",1,56,20,high,split-CI-and-CJS,CJS-5B; CJS-5E; CJS-4.4,multi-owner-routing(1); routing-read-with(3); shared-procedure(8); dependency-failure(3); forum-system-touch(8),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R16 — Cross-institution coordination, deadlock, and escalation","**Purpose and owner boundary.** This section governs the institutional custody, funding, ranking, archival, reliance, and review mechanics for scientific and scholarly claims where constitutional adoption brings those functions within scope. Constitutional..."
corpus_institutions/ci_10_public_revenue_fees_recurring_charges_billing_integrity.md,CI-10.2,"Recurring charges, renewals, and commercial billing integrity",71,119,20,high,split-CI-and-CJS,CJS-5C; CJS-4.4; CJS-5D,multi-owner-routing(2); routing-read-with(1); shared-procedure(4); dependency-failure(5); forum-system-touch(15),"CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","**Purpose.** This subsection records institutional requirements for **recurring and transaction-linked charges**, including subscriptions, memberships, paid tiers, and trial-to-paid conversion, where institutions **supervise, charter, or set compliance expe..."
corpus_institutions/ci_09_classification_linked_institutional_obligations.md,CI-9,Classification-linked institutional obligations,1,36,20,high,split-CI-and-CJS,CJS-5A / CJS-4.1 / CJS-4.7; CJS-3 / CJS-4,joint-interface(1); multi-owner-routing(1); routing-read-with(4); shared-procedure(2); forum-system-touch(8),"CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)",**Constitutional index (abridged)** - Topic-level routing and cited authorities remain in subsection text and cross-references. - Canonical owner map: `corpus_joint_structure.md` **CJS-2.2** (*Topic router (stable IDs)*) and `doc_architecture.md` section 4....
corpus_institutions/ci_14_transitional_governance_institutional_evolution.md,CI-14.1,"Interface — Article XXV-D (non-compliant property, seizure, voluntary incentives)",36,78,19,high,split-CI-and-CJS,CJS-5D; CJS-5B; CJS-3 / CJS-4,multi-owner-routing(2); routing-read-with(3); shared-procedure(3); forum-system-touch(8),CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Where transition plans address **non-compliant property or systems** under **Sentient Constitution Chapter Ten, Article XXV-D**, institutions must publish and maintain: - **Eligibility and process:** clear criteria linking measures to **Chapter Six** compli..."
corpus_institutions/ci_05_conflict_integrity_anti_capture_anti_corruption.md,CI-5.1,Integrity trigger taxonomy and cross-layer routing (control package),57,103,16,high,split-CI-and-CJS,CJS-5B; CJS-4.4; CJS-5A / CJS-4.1 / CJS-4.7,routing-read-with(3); shared-procedure(5); dependency-failure(2); forum-system-touch(4),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","This subsection names institutional trigger categories for **CI-5** (*Conflict integrity, anti-capture, and anti-corruption*) control maps and training. Shared cross-layer routing for integrity triggers is governed by `corpus_joint_structure.md` **CJS-5B.1*..."
corpus_institutions/ci_05_conflict_integrity_anti_capture_anti_corruption.md,CI-5,"Conflict integrity, anti-capture, and anti-corruption",1,56,16,high,split-CI-and-CJS,CJS-5B; CJS-4.4; CJS-5C,multi-owner-routing(1); routing-read-with(1); shared-procedure(5); dependency-failure(4); forum-system-touch(3),CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Institutions must maintain: - auditable conflict controls that cover financial, relational, and role-based conflicts. - anti-corruption and anti-fraud controls across prevention, detection, response, and remediation. Required controls include: - disclosure..."
