cluster_id,cluster_title,file,start_line,end_line,inferred_ch1_principles,direct_ch1_refs,read_with_refs,owner_refs,op_rule_count,op_complete,status
CJS-3.0,Cross-band: Role-definition preface and standing competency bar and clearance interface,corpus_joint_structure/cjs_03_cross_implementation_operational_terms.md,41,312,2.1; 3.4; 5.2; 7.1; 7.2; 10,2.1,,Article XI-D; CI; CS; Chapter Nine; Chapter Twelve; core_12-12_governance.md; corpus_forum.md; corpus_institutions.md; corpus_systems.md,14,yes,complete
CJS-3.1,Library: Constitutional compass and cluster map,corpus_joint_structure/cjs_03_cross_implementation_operational_terms.md,313,392,2.1; 3; 3.1; 3.2; 3.3; 3.4; 4; 4.1; 5; 5.1; 5.2; 6; 6.1; 6.2; 6.3; 6.4; 7; 7.1; 7.2; 8; 9; 10,6.2; 8.1; 8.2; linked,,CF; CI; CS; Chapter Five,0,yes,complete
CJS-3.2,Oversight: reflexive transparency and accountability terms,corpus_joint_structure/cjs_03o_oversight_operations.md,39,238,3.2; 4; 5.2; 7.1; 7.2,12.1; 12.2; 2.2; 3; 4.2; linked,,,9,yes,owner_drift
CJS-3.3,Oversight: auditability and reconstructability terms (annex),corpus_joint_structure/cjs_03o_oversight_operations.md,239,364,3.2; 4; 7.1; 7.2,12.1; 12.2; 2.2; 3; linked,,Article VII-B; Article XII-B; Article XV; Article XV-A; Article XV-B; Article XX; CF; CI; CS; Chapter Five; Chapter Six; corpus_systems.md,5,yes,complete
CJS-3.4,Oversight: tiered transparency and audit-access terms,corpus_joint_structure/cjs_03o_oversight_operations.md,365,579,3.2; 6.2; 6.4; 7.1; 8,11.2; 11.4; 12.1; 13; 2.2; 6.3.1; linked,,Article VII-B; Article XV; Article XV-A; CF; CS; corpus_forum.md; corpus_systems.md,10,yes,complete
CJS-3.5,Oversight: independent verification and claim-integrity terms,corpus_joint_structure/cjs_03o_oversight_operations.md,580,733,3.2; 3.3; 4; 7.1; 7.2,12.1; 12.2; 2.2; 2.3; 3; linked,,,7,yes,owner_drift
CJS-3.6,Oversight: integrity assurance and resilience operations,corpus_joint_structure/cjs_03o_oversight_operations.md,734,1051,3.1; 3.2; 4.1; 7.1; 7.2,12.1; 12.2; 2.1; 2.2; 3.1; linked,,CF; CI; CS; Core definitions; core_11-11_forum.md; corpus_forum.md; corpus_systems.md,16,yes,complete
CJS-3.7,Participation: quorum and participatory legitimacy terms,corpus_joint_structure/cjs_03p_participation_operations.md,37,292,2.1; 4; 5.2; 6.4; 8; 10,7.1; linked,,Article IX-C; Article XI; Article XI-A; Chapter Six; Chapter Twelve,13,yes,complete
CJS-3.8,Participation: comprehensibility and cognitive accessibility terms,corpus_joint_structure/cjs_03p_participation_operations.md,293,511,3.4; 5.2; 7.1; 8,12.1; 13; 2.4; 4.2; linked,,corpus_systems.md,11,yes,complete
CJS-3.9,Participation: salience integrity and attention-allocation terms,corpus_joint_structure/cjs_03p_participation_operations.md,512,717,2; 3.2; 4; 7.1; 8,12.1; 13; 2.2; 3; 8; linked,,Article XV-A; Chapter Six,10,yes,complete
CJS-3.10,Participation: disclosure sufficiency and observability terms,corpus_joint_structure/cjs_03p_participation_operations.md,718,841,3.2; 6.2; 7.1; 8,11.2; 12.1; 13; 2.2; linked,,Article VII-B; Article XV-A,5,yes,complete
CJS-3.11,Accountability: distributed and proportional authority terms,corpus_joint_structure/cjs_03a_accountability_operations.md,38,401,2.1; 4; 5.2; 7.2; 10,13; 13.1; 13.2; 13.3; 13.3.1; 13.3.2; 7.1; linked,,Article I-D; Article III-D; Article XII-A; Article XII-E; Article XIII-A; Article XIX; CI; CS; Chapter Six; corpus_systems.md,13,yes,complete
CJS-3.12,Accountability: burden-of-justification and constraint terms,corpus_joint_structure/cjs_03a_accountability_operations.md,402,653,6.1; 6.3; 6.4; 7.1; 8; 9,11.1; 11.3; 11.4; 12.1; 13; 14; 6.3.1; linked,,CF; CI; CS; Core definitions; corpus_forum.md; corpus_systems.md,12,yes,complete
CJS-3.13,Accountability: procedural integrity and adjudication terms,corpus_joint_structure/cjs_03a_accountability_operations.md,654,932,2.1; 3.4; 6.4; 7.1; 8; 10,7.1; linked,,CF; CI; CS; core_11-11_forum.md; corpus_forum.md; corpus_institutions.md; corpus_systems.md,13,yes,complete
CJS-3.14,Accountability: intervention governance and override-authorization terms,corpus_joint_structure/cjs_03a_accountability_operations.md,933,1095,3.1; 6.1; 6.4; 7.1; 9,11.1; 11.4; 12.1; 14; 2.1; linked,,CF,7,yes,complete
CJS-3.15,"Accountability: structural review, correction urgency, and disclosure terms",corpus_joint_structure/cjs_03a_accountability_operations.md,1096,1278,3.1; 3.2; 4.1; 5.2; 7.1; 7.2,12.1; 12.2; 2.1; 2.2; 3.1; 4.2; linked,,CS; corpus_systems.md,8,yes,complete
CJS-3.16,Continuity: dependency integrity and disclosure terms,corpus_joint_structure/cjs_03c_continuity_operations.md,39,247,3.1; 4.1; 5.1; 7.1; 9,12.1; 14; 2.1; 3.1; 4.1; linked,,Article XV-A; CI; CS; corpus_systems.md,10,yes,complete
CJS-3.17,"Continuity: interoperability, portability, and exit-integrity terms",corpus_joint_structure/cjs_03c_continuity_operations.md,248,577,5.1; 6.1; 7.1; 8; 9,11.1; 12.1; 13; 14; 4.1; linked,,Article II-E; Article XIX; Article XV-A; CI; CS; Foundational Rights; corpus_systems.md,17,yes,complete
CJS-3.18,Continuity: data-retention and lifecycle-integrity terms,corpus_joint_structure/cjs_03c_continuity_operations.md,578,803,3.2; 6.2; 7.1; 8; 9,11.2; 12.1; 13; 14; 2.2; linked,,CS; corpus_systems.md,11,yes,complete
CJS-3.19,Continuity: graceful degradation and failure-mode integrity terms,corpus_joint_structure/cjs_03c_continuity_operations.md,804,1028,3.1; 4.1; 5.1; 6.1; 7; 9,11.1; 12; 14; 2.1; 3.1; 4.1; linked,,corpus_systems.md,11,yes,complete
CJS-3.20,Continuity: reversibility and containment terms,corpus_joint_structure/cjs_03c_continuity_operations.md,1029,1153,3.1; 4.1; 6.1; 7.1; 9,11.1; 12.1; 14; 2.1; 3.1; linked,,,5,yes,owner_drift
CJS-3.21,Continuity: adversarial robustness and abuse-resistance terms,corpus_joint_structure/cjs_03c_continuity_operations.md,1154,1419,3.1; 3.2; 4.1; 7.1; 7.2; 9,12.1; 12.2; 14; 2.1; 2.2; 3.1; linked,,,13,yes,owner_drift
CJS-3.22,Integrative: constrained-secrecy and protected-investigation terms,corpus_joint_structure/cjs_03i_integrative_operations.md,35,180,3.2; 6.2; 6.4; 7.1; 8; 9,11.2; 11.4; 12.1; 13; 14; 2.2; linked,,,6,yes,owner_drift
