cluster_id,cluster_title,file,start_line,end_line,inferred_ch1_principles,direct_ch1_refs,read_with_refs,owner_refs,op_rule_count,op_complete,status
CJS-3.0,Cross-band: Role-definition preface and standing competency bar and clearance interface,corpus_joint_structure/cjs_03_cross_implementation_operational_terms.md,41,329,2.1; 3.4; 5.2; 7; 10,10; 2.1; 3.4; 5.2; 7,,Article XI-D; CI; CS; Chapter Nine; Chapter Twelve; core_12_governance.md; corpus_forum.md,15,yes,complete
CJS-3.1,Library: Constitutional compass and cluster map,corpus_joint_structure/cjs_03_cross_implementation_operational_terms.md,330,409,6.2; 8.1; 8.2,11.1; 2; 3.4; 8.1; 8.2; linked,,CF; CI; CS; Chapter Five,0,yes,complete
CJS-3.2,Oversight: reflexive transparency and accountability terms,corpus_joint_structure/cjs_03o_oversight_operations.md,40,241,8.2; 4; 6.2; 12.1; 12.2,12.1; 12.2; 4; 6.2; 8.2; linked,,Article XV; Article XV-A; CS; corpus_systems.md,9,yes,complete
CJS-3.3,Oversight: auditability and reconstructability terms (annex),corpus_joint_structure/cjs_03o_oversight_operations.md,242,368,8.2; 4; 12.1; 12.2,12.1; 12.2; 4; 8.2; linked,,Article VII-B; Article XII-B; Article XV; Article XV-A; Article XV-B; Article XX; CF; CI; CS; Chapter Five; Chapter Six; corpus_systems.md,5,yes,complete
CJS-3.4,Oversight: tiered transparency and audit-access terms,corpus_joint_structure/cjs_03o_oversight_operations.md,369,582,8.2; 11.2; 11.4; 12.1; 8,11.2; 11.4; 12.1; 6.3.1; 8; 8.2; linked,,Article VII-B; Article XV; Article XV-A; CF; CS; corpus_forum.md; corpus_systems.md,10,yes,complete
CJS-3.5,Oversight: independent verification and claim-integrity terms,corpus_joint_structure/cjs_03o_oversight_operations.md,583,738,8.2; 3.3; 4; 12.1; 12.2,12.1; 12.2; 3.3; 4; 8.2; linked,,Article XV; Article XV-A; CS; corpus_systems.md,7,yes,complete
CJS-3.6,Oversight: integrity assurance and resilience operations,corpus_joint_structure/cjs_03o_oversight_operations.md,739,1056,8.1; 8.2; 12.1; 12.2,12.1; 12.2; 8.1; 8.2; linked,,CF; CI; CS; Core definitions; core_11_forum.md,16,yes,complete
CJS-3.7,Participation: quorum and participatory legitimacy terms,corpus_joint_structure/cjs_03p_participation_operations.md,38,292,8.1; 4; 6.2; 11.4; 8; 10,10; 11.4; 4; 6.2; 8; 8.1; linked,,Article IX-C; Article XI; Article XI-A; Chapter Six; Chapter Twelve,13,yes,complete
CJS-3.8,Participation: comprehensibility and cognitive accessibility terms,corpus_joint_structure/cjs_03p_participation_operations.md,293,510,3.4; 6.2; 12.1; 8,12.1; 3.4; 6.2; 8; linked,,CS,11,yes,complete
CJS-3.9,Participation: salience integrity and attention-allocation terms,corpus_joint_structure/cjs_03p_participation_operations.md,511,717,2; 8.2; 4; 12.1; 8,12.1; 2; 4; 8; 8.2; linked,,Article XV-A; Chapter Six,10,yes,complete
CJS-3.10,Participation: disclosure sufficiency and observability terms,corpus_joint_structure/cjs_03p_participation_operations.md,718,841,8.2; 11.2; 12.1; 8,11.2; 12.1; 8; 8.2; linked,,Article VII-B; Article XV-A,5,yes,complete
CJS-3.11,Accountability: distributed and proportional authority terms,corpus_joint_structure/cjs_03a_accountability_operations.md,39,402,8.1; 4; 6.2; 12.2; 10,10; 12.2; 13; 13.1; 13.2; 13.3; 13.3.1; 13.3.2; 4; 6.2; 8.1; linked,,Article I-D; Article III-D; Article XII-A; Article XII-E; Article XIII-A; Article XIX; CI; CS; Chapter Six,13,yes,complete
