article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,ch5_refs,odef_refs,owner_refs,status
I,Environmental Survival,survival/resources,core_06_rights_part_a.md,209,2; 3.1; 3.2; 6; 11; linked,2; 3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity,Environmental Preconditions,,Article I; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md,complete
I-A,Environmental Preconditions and Ecological Integrity,survival/resources,core_06_rights_part_a.md,236,2; 3.1; 6.1.5; linked,2; 3.1; 6.1; 6.1.5; 6.3; 7; 8,participation,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Ecological Footprint / Environmental Preconditions,Animal Life; Contested-Sentient Life; Ecological Integrity; Elevated Communicative Life; Environmental Preconditions; Natural Systems Standing; Sentience Non-Exclusion; Sentience Status Adjudication; Sustainability; Wellbeing,,Article V-E; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md; core_16_amendment_ratification.md,complete
I-B,Ecological Footprint and Transparency,survival/resources,core_06_rights_part_a.md,293,3.2; 6.2; linked,2; 3.1; 3.2; 6.2; 7; 8; 11; 12; 13,oversight,continuity,material impact,Survival-floor access; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Privacy / Data Stewardship,Ecological Footprint; Epistemic Integrity; Material Impact; Transparency,,Article I; Article I-B; Article XV-C; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
I-C,Intergenerational Responsibility,survival/resources,core_06_rights_part_a.md,328,2; 3.1; 15; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight,continuity,materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity,"**Def.I1** *Ecological Integrity, Footprint, and Sustainability*; Chapter Five *Indigenous Continuity, Language, Culture, and Heritage*; Environmental Preconditions; Intergenerational Responsibility; Materiality Determination",,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_oversight.md,complete
I-D,Existential Risk and Ecological Recovery Capacity,survival/resources,core_06_rights_part_a.md,358,3.1; 6.1; 15; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight,continuity,,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Dependency; Ecological Recovery Capacity; Environmental Preconditions; Existential Risk; Foreseeability; Intergenerational Responsibility; Reversibility; Safety (Constraint); Self-Healing; Truth (Constitutional Constraint),,Article I-B; Article XXIII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_oversight.md; core_16_amendment_ratification.md,complete
II,Material Stewardship and Durable-Use Integrity,survival/resources,core_06_rights_part_a.md,405,2; 3.1; 3.2; 9; 9.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity; Privacy / Data Stewardship,,,Article I; Article II; Article II-A; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; corpus_institutions.md; corpus_systems.md,complete
II-A,Material Stewardship and Lifecycle Honesty,survival/resources,core_06_rights_part_a.md,442,3.2; 6.1; linked,3.2; 4; 6.2; 7; 8; 9; 9.2,oversight,continuity,materiality,Ecological Footprint / Environmental Preconditions; Accessibility; Truth / Epistemic Integrity; Privacy / Data Stewardship; Trustworthiness,Ecological Footprint; Intergenerational Responsibility; Materiality Determination,,Article I-B; Article I-C; Article XII; Article XII-C; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
II-B,"Repair, Maintenance, and Independent Servicing",survival/resources,core_06_rights_part_a.md,478,3.1; 3.2; 6.1; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,accountability,continuity,,Safety / Harm / Risk; Dependency / Resource Flow; Truth / Epistemic Integrity,Dependency; Necessity; Proportionality,,Article XII-D; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md,complete
II-C,Designed Obsolescence and Incentive Discipline,survival/resources,core_06_rights_part_a.md,513,3.1; 6.1; 11; 12; linked,3.1; 6.1; 6.1.5; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,,,Safety / Harm / Risk; Productive Capacity; Incentive Alignment / Proxy Integrity,Foreseeability; Incentive Alignment; Necessity; Proportionality,,Article XII-D; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_integrative.md; core_05_band_oversight.md,complete
II-D,Post-Sale Access and Subscription Integrity,survival/resources,core_06_rights_part_a.md,543,3.2; 5; 11; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Trustworthiness,Coercion and Manipulation; Consent; Dependency; Meaningful Agency; Necessity; Trust Degradation and Misleading Reliance; Truth (Constitutional Constraint),,Article IX-B; Article XII-C; Article XII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md,complete
